comp_name;inn;ogrn;full_name;short_name;addr;form;date;dividents;audit_name;audit_inn;dir_q
"АО ""Завод ""Дагдизель""";0545001919;1020502130;"Акционерное Общество ""Завод"" Дагдизель """;"АО ""Завод"" Дагдизель """;город Каспийск, улица Ленина;собрание;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО ""БМК""";0256006322;1020201623;"Акционерное общество ""Белорецкий металлургический комбинат""";"АО ""БМК""";индекс 453500, город Белорецк, улица Блюхера, республика Башкортостан, страна Россия;заочное голосование;23/06/2020;Принято решение не выплачивать дивиденды;Энерджи Консалтинг;7717149511;Вопрос не поднимался
"ПАО ""Мосстройпластмасс""";5029007199;1025003516;"Публичное акционерное общество ""Мосстройпластмасс""";"ПАО ""Мосстройпластмасс""";страна РФ, индекс 141004, область Московская, город Мытищи, улица Силикатная, дом 19;заочное голосование;23/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""Новошип""";2315012204;1022302377;"Публичное Акционерное Общество ""Новороссийское морское пароходство""";"ПАО ""Новошип""";индекс 353900, страна Россия, край Краснодарский, город Новороссийск, улица Свободы;заочное голосование;18/06/2020;Принято решение выплачивать дивиденды;Новошип;;Вопрос поднимался
"ПАО ""ГАЗ-сервис""";7726510741;1047796720;"Публичное акционерное общество ""ГАЗ - сервис""";"ПАО ""ГАЗ - сервис""";город Москва;заочное голосование;22/06/2020;Принято решение выплачивать дивиденды;ГАЗ-сервис;;Вопрос поднимался
"АО ""Полимер""";4713001438;1024701706;"Акционерное общество ""Сланцевский завод « Полимер""";"АО ""Полимер""";область Ленинградская, город Сланцы, улица Дорожная, дом 3 «А»;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""М.видео""";7707602010;5067746789;"Публичное акционерное общество ""М . видео""";"ПАО ""М . видео""";страна Россия, индекс 105066, None Москва, улица Нижняя Красносельская, корпус 20;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""Иркутскэнерго""";3800000220;1023801003;Иркутское публичное акционерное общество энергетики и электрификации;"ПАО ""Иркутскэнерго""";индекс 664025, город Иркутск, улица Сухэ-Батора;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""ИРЗ""";3811016215;1023801537;"Акционерное общество ""Иркутский релейный завод""";"АО ""ИРЗ""";область Иркутская, город Иркутск;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;ИРЗ;;Вопрос поднимался
"ОАО ""ММК-МЕТИЗ""";7414001428;1027402169;"Открытое акционерное общество ""Магнитогорский метизно - калибровочный завод « ММК - МЕТИЗ""";"ОАО ""ММК - МЕТИЗ""";индекс 455002, страна Россия, область Челябинская, город Магнитогорск, улица Метизников;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;ММК-МЕТИЗ;;Вопрос не поднимался
"ОАО ""ВНИПИнефть""";7701007624;1027700370;"Открытое акционерное общество ""Научно - исследовательский и проектный институт нефтеперерабатывающей и нефтехимической промышленности""";"ОАО ""ВНИПИнефть""";индекс 105005, город Москва, улица Ф.Энгельса, дом 32, строение None;заочное голосование;22/06/2020;Принято решение выплачивать дивиденды;Аудиторско-консультационная группа «Развитие Бизнес-систем;;Вопрос поднимался
ЗАО им. Т.Г. Шевченко;2351002177;1022304718;Закрытое акционерное общество имени Т . Г . Шевченко;ЗАО им . Т . Г . Шевченко;индекс 352359, страна Россия, край Краснодарский;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;Информ-Аудит;2302002230;Вопрос не поднимался
"ОАО ""Кропоткинское""";2351005266;1022304720;"Открытое акционерное общество ""Кропоткинское""";"ОАО ""Кропоткинское""";"индекс 352359, страна Россия, край Краснодарский, None Октябрьская, дом 2 ""а""";заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;Кропоткинское;2302002230;Вопрос поднимался
"АО ""Чкаловская судоверфь""";5236000402;1025201687;"Публичное акционерное общество ""Чкаловская судоверфь""";"ПАО ""Чкаловская судоверфь""";область Нижегородская, город Чкаловск, улица Мира;очное;18/06/2020;Принято решение не выплачивать дивиденды;Российский Союз аудиторов;;Вопрос поднимался
"ПАО ""ФосАгро""";7736216869;1027700190;"Публичное акционерное общество ""ФосАгро""";"ПАО ""ФосАгро""";индекс 119333, город Москва, проспект Ленинский, дом 55/1, строение None;заочное голосование;19/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"ОАО ""РОРЗ""";6229007423;1026201082;"Открытое акционерное общество ""Рязанский опытный ремонтный завод""";"ОАО ""РОРЗ""";индекс 390010, страна Россия, область Рязанская, город Рязань, проезд Шабулина;заочное голосование;22/06/2020;Принято решение выплачивать дивиденды;РОРЗ;;Вопрос не поднимался
"АО ""Тулачермет""";7105008031;1027100507;"Публичное акционерное общество ""Тулачермет""";"ПАО ""Тулачермет""";страна Россия, город Тула;собрание;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""БШФ""";3123000119;1023101638;"Акционерное общество ""Белгородская швейная фабрика""";"АО ""БШФ""";индекс 308023, город Белгород, проспект Б. Хмельницкого, дом 135Б;очное;22/06/2020;Принято решение выплачивать дивиденды;Агенство «Кадры и Аудит;;Вопрос поднимался
"ПАО ""ГАЗ""";5200000046;1025202265;"Публичное акционерное общество ""ГАЗ""";"ПАО ""ГАЗ""";индекс 603004, город Нижний Новгород, проспект Ленина;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;Об общих собраниях акционеров;;Вопрос поднимался
"ПАО ""Подзембургаз""";7719091049;1025006519;"Публичное акционерное общество ""Подзембургаз""";"ПАО ""Подзембургаз""";страна Россия, индекс 141100, область Московская, город Щелково, улица Буровая, дом 20;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""Ижсталь""";1826000655;1021801435;"Публичное акционерное общество ""Ижсталь""";"ПАО ""Ижсталь""";индекс 426006, республика Удмуртская, город Ижевск, улица Новоажимова, дом 6;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;Энерджи Консалтинг;7717149511;Вопрос не поднимался
"АО ""АБС ЗЭиМ Автоматизация""";2128006240;1022101130;"Открытое акционерное общество ""АБС ЗЭиМ Автоматизация""";"ОАО ""АБС ЗЭиМ Автоматизация""";индекс 428020, республика Чувашская, город Чебоксары, проспект И. Яковлева, дом 1;заочное голосование;18/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""АПТС""";1644035607;1051605063;"Акционерное общество ""Альметьевские тепловые сети""";"АО ""АПТС""";индекс 423462, республика Татарстан, город Альметьевск, улица Ризы Фахретдина;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;Альметьевские тепловые сети;;Вопрос поднимался
"ПАО ""СН-МНГ""";8605003932;1028601354;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";"ПАО ""СН - МНГ""";автономный округ Ханты-Мансийский, город Мегион;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;СН-МНГ;;Вопрос поднимался
"ОАО ""ВЭЛКОНТ""";4341009610;1024300749;"Открытое акционерное общество ""Электромашиностроительный завод"" ВЭЛКОНТ """;"ОАО ""ВЭЛКОНТ""";индекс 613047, область Кировская, город Кирово-Чепецк, улица Ленина, дом 1;заочное голосование;16/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""Самараэнерго""";6315222985;1026300956;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";"ПАО ""Самараэнерго""";индекс 443079, город Самара, проезд имени Георгия Митирева, дом 9;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;Самараэнерго;6315020153;Вопрос поднимался
"АО ""Гипроспецгаз""";7815023475;1027809223;"Акционерное общество ""Гипроспецгаз""";"АО ""Гипроспецгаз""";страна Россия, индекс 191036, None Санкт-Петербург, проспект Суворовский, дом 16/13;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;Гипроспецгаз;;Вопрос поднимался
"АО ""Учхоз Зерновое""";6111000021;1026100956;"Акционерное Общество ""Учхоз Зерновое""";"АО ""Учхоз Зерновое""";индекс 347740, область Ростовская, город Зерноград, улица К.Маркса;очное;22/06/2020;Принято решение выплачивать дивиденды;" общества ООО ""ЭРКОН"". 5. Утверждение дивидендов за 2019 год. Утверждение даты, на которую определяются лица, имеющие право на получение дивидендов. 5.1.Число голосов, которыми обладали лица, включенные в список лиц, имевших право на участие в общем собрании - 53949 Число голосов, приходившихся на голосующие акции общества по каждому вопросу повестки дня общего собрания - 53949 Число голосов, которыми обладали лица, принявшие участие в общем собрании - 51042 (94,61%) Результаты голосов: за - 51042 голосов (100%), против - 0 (0%), воздержалось – 0 (0%) Решение: Утвердить выплату дивидендов за 2019 год в размере 35 рублей на каждую акцию. 5.2.Число голосов, которыми обладали лица, включенные в список лиц, имевших право на участие в общем собрании - 53949 Число голосов, приходившихся на голосующие акции общества по каждому вопросу повестки дня общего собрания - 53949 Число голосов, которыми обладали лица, принявшие участие в общем собрании - 51042 (94,61%) Результаты голосов: за - 51042 голосов (100%), против - 0 (0%), воздержалось – 0 (0%) Решение: Утвердить 6 июля 2020 года датой, на которую определяются лица имеющие право на получение дивидендов. 6. Утверждение дополнения в пятый раздел Положения о Совете директоров: допускается проведение Совета директоров с использованием информационных и коммуникационных технологий, позволяющих обеспечить возможность дистанционного участия в заседании Совета директоров; обсуждение вопросов повестки дня и принятие решений по вопросам поставленным на голосовании без присутствия в месте проведения Совета директоров. Число голосов, которыми обладали лица, включенные в список лиц, имевших право на участие в общем собрании - 53949 Число голосов, приходившихся на голосующие акции общества по каждому вопросу повестки дня общего собрания - 53949 Число голосов, которыми обладали лица, принявшие участие в общем собрании - 51042 (94,61%) Результаты голосов: за - 51042 голосов (100%), против - 0 (0%), воздержалось – 0 (0%) Решение: Утвердить дополнения в пятый раздел Положения о Совете директоров: допускается проведение Совета директоров с использованием информационных и коммуникационных технологий, позволяющих обеспечить возможность дистанционного участия в заседании Совета директоров; обсуждение вопросов повестки дня и принятие решений по вопросам поставленным на голосовании без присутствия в месте проведения Совета директоров 7. Вознаграждение членам совета директоров. Число голосов, которыми обладали лица, включенные в список лиц, имевших право на участие в общем собрании - 53949 Число голосов, приходившихся на голосующие акции общества по каждому вопросу повестки дня общего собрания - 53949 Число голосов, которыми обладали лица, принявшие участие в общем собрании – 51042 (94,61%) Результаты голосов: за - 51042 голосов (100%), против - 0 (0%), воздержалось – 0 (0%) Решение: Выплатить вознаграждение членам совета директоров 3000 рублей за 1 заседание. 2.8. Дата составления и номер протокола общего собрания участников (акционеров) эмитента: 22 июня 2020г. №31 3. Подпись 3.1. Генеральный директор __________________________ Абрамов В.Г. 3.2. Дата 22 июня 2020 г. М.П";;Вопрос поднимался
"АО ""Дагнефть""";0541000600;1020502459;"Публичное акционерное общество ""НК"" Роснефть ""- Дагнефть""";"ПАО ""НК"" Роснефть ""- Дагнефть""";республика Дагестан;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;Аудиторско-консультационная группа «Развитие бизнес-систем;;Вопрос поднимался
"ОАО ""Воронежская кондитерская фабрика""";3650000412;1023601542;"Открытое акционерное общество ""Воронежская кондитерская фабрика""";"ОАО ""Воронежская кондитерская фабрика""";страна Россия, индекс 394030, город Воронеж, улица Кольцовская;заочное голосование;22/06/2020;Принято решение не выплачивать дивиденды;Аудит-Константа;;Вопрос поднимался
"ПАО ""ПЕНЗМАШ""";5837004296;1025801436;"Публичное акционерное общество ""ПЕНЗМАШ""";"ПАО ""ПЕНЗМАШ""";индекс 440052, страна Россия, город Пенза, улица Баумана;заочное голосование;19/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ООО ""Атомстройкомплекс-Строительство""";6685028774;1136685004;"Общество с ограниченной ответственностью ""Атомстройкомплекс - Строительство""";"ООО ""Атомстройкомплекс - Строительство""";город Екатеринбург, область Свердловской;очное;22/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""МСЗ им. М.В. Фрунзе""";0105005101;1020100698;"Публичное акционерное общество ""Майкопский станкостроительный завод им . М . В . Фрунзе""";"ПАО ""МСЗ им . М . В . Фрунзе""";республика Адыгея, город Майкоп, улица Некрасова;очное;19/06/2020;Принято решение не выплачивать дивиденды;Юг-Аудит;;Вопрос поднимался
"ПАО ""СЭС""";7825333010;1027809235;"Публичное акционерное общество ""Трест"" Севэнергострой """;"ПАО ""СЭС""";область Ленинградская, деревня Новое Девяткино;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ОАО  ""Фабрика художественной упаковки""";3328100322;1023301460;"Открытое Акционерное Общество ""Фабрика художественной упаковки""";"ОАО ""Фабрика художественной упаковки""";индекс 600026, город Владимир, улица Куйбышева;очное;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО ""ФЭЗ""";5052005023;1025007070;"Акционерное общество ""Фрязинский экспериментальный завод""";"АО ""ФЭЗ""";индекс 141190, область Московская, город Фрязино, проезд Заводской, дом 6, офис 1;собрание;22/06/2020;Вопрос не поднимался;ЮКТ-Аудит;;Вопрос поднимался
"ПАО ""Дорисс""";2127008364;1022100967;"Публичное акционерное общество по строительству дорог , инженерных сетей и сооружений ""Дорисс""";"ПАО ""Дорисс""";индекс 428037, республика Чувашская, город Чебоксары, проезд Кабельный, дом 2;очное;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""СН-МНГГ""";8605005954;1028601354;"Публичное акционерное общество ""Славнефть - Мегионнефтегазгеология""";"ПАО ""СН - МНГГ""";город Мегион;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;СН-МНГГ;;Вопрос поднимался
"ОАО ""Каменный пояс""";5902114608;1025900512;"Открытое акционерное общество ""Каменный пояс""";"ОАО ""Каменный пояс""";индекс 614990, город Пермь, улица Ленина;заочное;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ОАО ""Колос""";3123006576;1023101655;"Открытое акционерное общество ""Колос""";"ОАО ""Колос""";индекс 308007, город Белгород, улица Мичурина, дом 48;очное;19/06/2020;Принято решение выплачивать дивиденды;Колос;7705108743;Вопрос поднимался
"АО ""РОСЭЛКО""";6664008512;1036605181;"Акционерное общество ""РОСЭЛКО""";"АО ""РОСЭЛКО""";индекс 620085, страна Россия, область Свердловская, None Екатеринбург;собрание;22/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""Мединформ""";2634035430;1022601934;"Открытое акционерное общество ""Краевой медицинский информационно - аналитический центр"" ОАО ""Мединформ""";"ОАО ""Мединформ""";индекс 355104, город Ставрополь, улица К.Хетагурова;очное;22/06/2020;Принято решение не выплачивать дивиденды;"Аудит-Оптим"" (ИНН 2635066061, место нахождения: 355029, г.Ставрополь,ул.Ленина,394,офис50 По пятому вопросу выступил председатель собрания (директор Общества) Соломонов А.Д. с предложением избрать членами Ревизионной комиссии следующих кандидатов: Харций Сергей Владимировича Мануков Юрий Михайлович, Белоусова Марина Михайловна. Вопрос, поставленный на голосование: избрать членами Ревизионной комиссии ОАО «Мединформ";2635066061;Вопрос не поднимался
"ОАО ""ДЭМЗ""";5007005896;1025001100;"Открытое акционерное общество ""Дмитровский экспериментальный механический завод""";"ОАО ""ДЭМЗ""";индекс 141801, область Московская, город Дмитров, улица Профессиональная, дом 169, корпус 2, офис 1;собрание;22/06/2020;Принято решение не выплачивать дивиденды;В.И.К.- АУДИТ;;Вопрос поднимался
"ПАО ""КЮП""";4415000012;1024402237;"Публичное акционерное общество ""Красносельский Ювелирпром""";"ПАО ""КЮП""";индекс 125080, город Москва, шоссе Волоколамское;очное;19/06/2020;Принято решение не выплачивать дивиденды;Костромская Областная Аудиторская Компания;;Вопрос поднимался
"АО ""Тулэнергоремонт"" или АО ""ТЭР""";7107067410;1027100965;"Открытое акционерное общество по ремонту энергетического оборудования ""Тулэнергоремонт""";"ОАО ""Тулэнергоремонт"" или ОАО ""ТЭР""";индекс 300012, город Тула, улица Тимирязева, дом 101 Б;заочное голосование;22/06/2020;Принято решение выплачивать дивиденды;Тулэнергоремонт;;Вопрос не поднимался
"ОАО ""Эпром""";3661003207;1023601530;"Открытое акционерное общество ""Экология промышленности""";"ОАО ""Эпром""";город Воронеж, улица Остужева, дом 45;заочное голосование;18/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""ИФКУР-Забота""";4629003966;1024600938;"Акционерное общество ""ИФКУР - Забота""";"АО ""ИФКУР - Забота""";индекс 305000, страна РФ, город Курск, улица Горького, дом 50;заочное голосование;18/06/2020;Принято решение выплачивать дивиденды;Аудитпром;;Вопрос поднимался
"АО ""АПЗ""";5243001742;1025201334;"Акционерное общество ""Арзамасский приборостроительный завод имени П . И . Пландина""";"АО ""АПЗ""";город Арзамас, область Нижегородской;заочное голосование;19/06/2020;Принято решение выплачивать дивиденды;Внешаудит консалтинг;;Вопрос поднимался
"АО ""Куйтунская Нива""";3814014600;1093814000;"Публичное акционерное общество ""Куйтунская Нива""";"ПАО ""Куйтунская Нива""";индекс 665301, область Иркутская, посёлок Куйтун, улица Фрунзе;очное;19/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""ФСВ ""Ветеран-Инвест""";7721007750;1037739295;"Открытое акционерное общество ""Фонд содействия ветеранам"" Ветеран - Инвест """;"ОАО ""ФСВ"" Ветеран - Инвест """;индекс 105082, город Москва, переулок Переведеновский, дом 18, строение None;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ИСК ""Домостроитель""";6318100456;1026301508;"Публичное акционерное общество инвестиционно - строительная компания ""Домостроитель""";"ПАО ИСК ""Домостроитель""";индекс 443045, страна Россия, город Самара, улица Гагарина;очное;22/06/2020;Принято решение не выплачивать дивиденды;Ауди;6312029359;Вопрос поднимался
"ПАО ""КуйбышевАзот""";6320005915;1036300992;"Публичное акционерное общество ""КуйбышевАзот""";"ПАО ""КуйбышевАзот""";область Самарская, город Тольятти, улица Новозаводская;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ОАО ""ЦНХРС""";6228001500;1026200953;"Центронефтехимремстрой """;"ОАО ""ЦНХРС""";индекс 390011, город Рязань, дом 6а;заочное голосование;17/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""ГАЗКОН""";7726510759;1047796720;"Публичное акционерное общество ""ГАЗКОН""";"ПАО ""ГАЗКОН""";город Москва;заочное голосование;19/06/2020;Принято решение выплачивать дивиденды;ГАЗКОН;;Вопрос поднимался
ПАО «ГАЗ-Тек»;7705821841;1077763816;"Публичное акционерное общество ""ГАЗ - Тек""";"ПАО ""ГАЗ - Тек""";город Москва;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""АК БАРС"" БАНК";1653001805;1021600000;"Акционерный коммерческий банк ""АК БАРС"" ( публичное акционерное общество )";"ПАО ""АК БАРС"" БАНК";республика Татарстан, город Казань, улица Декабристов, дом 1;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;АК БАРС;;Вопрос поднимался
"РСП ОАО ""ДОСТ""";3801071256;1043800523;"Региональное строительно - промышленное открытое акционерное общество ""Дирекция Объединенных Строительных Трестов""";"РСП ОАО ""ДОСТ""";индекс 665816, область Иркутская, город Ангарск, дом 17;очное;22/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""УМ-15""";7203038549;1027200818;"Открытое Акционерное Общество ""Управление механизации - 15""";"ОАО ""УМ - 15""";индекс 625014, город Тюмень, улица Республики, корпус 10;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;Тюменский аудит;;Вопрос поднимался
"ООО ""НЗРМ""";5405963591;1155476102;"Общество с ограниченной ответственностью ""Новосибирский Завод Резки Металла""";"ООО ""НЗРМ""";индекс 630068, область Новосибирская, город Новосибирск, улица Твардовского, дом 3, корпус 10, офис 34;собрание;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";7734202860;1027739555;"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК "" ( публичное акционерное общество )";"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";город Москва;заочное голосование;19/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
ПАО МГТС;7710016640;1027739285;"Публичное акционерное общество ""Московская городская телефонная сеть""";ПАО МГТС;индекс 119017, город Москва;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""МПСМ""";7704008150;1027739445;"Публичное акционерное общество ""Моспромстройматериалы""";"ПАО ""МПСМ""";индекс 119019, None Москва, набережная Пречистенская, дом 45/1, строение None;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""Сальский завод КПО""";6153000961;1026102514;"Акционерное общество ""Сальский завод кузнечно - прессового оборудования""";"АО ""Сальский завод КПО""";индекс 347632, область Ростовская, город Сальск, улица Промышленная;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;Сальский завод КПО;;Вопрос не поднимался
"ПАО МП ""ГСФС""";7710063632;1027739342;"Публичное акционерное общество Московское предприятие ""Гидроспецфундаментстрой""";"ПАО МП ""ГСФС""";индекс 108810, город Москва, улица 2-я Железнодорожная, строение None;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО ""ХМДС""";8601013827;1028600579;"Открытое акционерное общество ""Ханты - Мансийскдорстрой""";"ОАО ""ХМДС""";область Тюменская, None ХМАО, город Сургут, улица Маяковского;заочное голосование;16/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""ВНИИ НП""";7722001535;1037739270;"Акционерное общество ""Всероссийский научно - исследовательский институт по переработке нефти""";"АО ""ВНИИ НП""";город Москва;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""Энел Россия""";6671156423;1046604013;"Публичное акционерное общество ""Энел Россия""";"ПАО ""Энел Россия""";индекс 620014, область Свердловская, город Екатеринбург, улица Хохрякова, дом 10;заочное голосование;19/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""ОНГГ""";8602016394;1028600579;"Публичное акционерное общество ""Обьнефтегазгеология""";"ПАО ""ОНГГ""";автономный округ Ханты-Мансийский, город Мегион;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;ОНГГ;;Вопрос поднимался
"АО ""СИМФЕРОПОЛЬСКИЙ РАЙАГРОХИМ""";9102170216;1159102055;"Акционерное общество ""СИМФЕРОПОЛЬСКИЙ РАЙАГРОХИМ""";"АО ""СИМФЕРОПОЛЬСКИЙ РАЙАГРОХИМ""";индекс 295033, республика Крым, город Симферополь, улица Автомобилистов;заочное голосование;15/06/2020;Принято решение не выплачивать дивиденды;Общество с ограниченной ответственностью Аудиторскую фирму «АУДИТ-АВ ЛТД;;Вопрос поднимался
"ПАО ""ПНППК""";5904000395;1025900906;"Публичное акционерное общество ""Пермская научно - производственная приборостроительная компания""";"ПАО ""ПНППК""";индекс 614990, страна РФ, город Пермь, улица 25 Октября;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;Положения об общих собраниях акционеров;;Вопрос не поднимался
"ПАО ""Порт Тольятти""";6320004816;1036301006;"Открытое акционерное общество ""Порт Тольятти""";"ОАО ""Порт Тольятти""";индекс 445012, город Тольятти, улица Коммунистическая;заочное голосование;17/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
ООО «Брусника. Строительство и девелопмент»;6685151087;1186658052;"Общество с ограниченной ответственностью ""Брусника . Строительство и девелопмент""";"ООО ""Брусника . Строительство и девелопмент""";область Свердловская, индекс 620075, город Екатеринбург, улица Малышева, дом 51, офис 37/05;;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
ООО «Брусника. Строительство и девелопмент»;6685151087;1186658052;"Общество с ограниченной ответственностью ""Брусника . Строительство и девелопмент""";"ООО ""Брусника . Строительство и девелопмент""";область Свердловская, индекс 620075, город Екатеринбург, улица Малышева, дом 51, офис 37/05;;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО НПО ""Магнетон""";3328100019;1023301456;"Акционерное общество ""Научно - производственное объединение"" Магнетон """;"АО НПО ""Магнетон""";страна Россия, индекс 600026, город Владимир, улица Куйбышева, дом 26;заочное голосование;19/06/2020;Принято решение не выплачивать дивиденды;Магнетон;3327107678;Вопрос поднимался
ООО «Брусника. Строительство и девелопмент»;6685151087;1186658052;"Общество с ограниченной ответственностью ""Брусника . Строительство и девелопмент""";"ООО ""Брусника . Строительство и девелопмент""";область Свердловская, индекс 620075, город Екатеринбург, улица Малышева, дом 51, офис 37/05;;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
ООО «Брусника. Строительство и девелопмент»;6685151087;1186658052;"Общество с ограниченной ответственностью ""Брусника . Строительство и девелопмент""";"ООО ""Брусника . Строительство и девелопмент""";область Свердловская, индекс 620075, город Екатеринбург, улица Малышева, дом 51, офис 37/05;;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
ООО «Брусника. Строительство и девелопмент»;6685151087;1186658052;"Общество с ограниченной ответственностью ""Брусника . Строительство и девелопмент""";"ООО ""Брусника . Строительство и девелопмент""";область Свердловская, индекс 620075, город Екатеринбург, улица Малышева, дом 51, офис 37/05;собрание;19/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""МФС - 6""";7711006612;1027739357;"Акционерное общество ""Мосфундаментстрой - 6""";"АО ""МФС - 6""";"индекс 125493, город Москва, улица Флотская, дом 5 ""Б""";собрание;18/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"АО ""Салют""";6313034986;1026300840;"Публичное акционерное общество ""Салют""";"ПАО ""Салют""";город Самара, шоссе Московское, посёлок Мехзавод, дом 20;очное;18/06/2020;Принято решение выплачивать дивиденды;Салют;7725037201;Вопрос поднимался
"ПАО ""Перовский комбинат строительных материалов""";7720005220;1027700009;"Публичное акционерное общество ""Перовский комбинат строительных материалов""";"ПАО ""Перовский комбинат строительных материалов""";индекс 111524, город Москва, улица Плеханова, дом 9;заочное голосование;18/06/2020;Принято решение не выплачивать дивиденды;Фирма «Консалт Информ-Универсал;;Вопрос поднимался
